fips,tractid,geography,county,state,year,mem_1_id,mem_1,mem_2_id,mem_2, tot_pop ,pct_food_insecure, number_food_insecure ,unemployment_rate,pct_poverty,pct_black,pct_hispanic, median_income ,pct_homeowners,pct_disability
37001,37001020100,Census Tract 201; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 4,477 ",21.6%, 970 ,6.4%,28.8%,24.0%,8.4%," $51,713.00 ",43.6%,19.5%
37001,37001020200,Census Tract 202; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 4,213 ",23.8%," 1,000 ",9.6%,35.8%,30.8%,40.5%," $33,674.00 ",52.3%,15.2%
37001,37001020301,Census Tract 203.01; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 4,004 ",23.9%, 960 ,11.2%,32.9%,29.7%,38.8%," $35,651.00 ",43.3%,14.1%
37001,37001020302,Census Tract 203.02; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 3,432 ",10.1%, 350 ,3.5%,12.9%,24.8%,49.8%," $51,136.00 ",86.9%,8.4%
37001,37001020400,Census Tract 204; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 6,682 ",17.6%," 1,170 ",9.7%,24.3%,55.3%,19.1%," $36,136.00 ",57.7%,14.6%
37001,37001020501,Census Tract 205.01; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 3,857 ",10.8%, 420 ,3.2%,11.0%,18.1%,10.2%," $59,274.00 ",74.3%,9.8%
37001,37001020502,Census Tract 205.02; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 4,356 ",16.4%, 710 ,6.9%,25.7%,49.2%,26.7%," $41,632.00 ",44.1%,6.3%
37001,37001020601,Census Tract 206.01; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 3,329 ",7.3%, 240 ,1.0%,4.2%,1.6%,4.0%," $100,543.00 ",93.9%,9.5%
37001,37001020602,Census Tract 206.02; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 2,664 ",10.7%, 290 ,1.1%,6.2%,5.8%,5.1%," $67,548.00 ",72.3%,17.7%
37001,37001020701,Census Tract 207.01; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 5,721 ",13.9%, 800 ,4.9%,14.4%,15.1%,11.6%," $61,782.00 ",75.0%,14.7%
37001,37001020702,Census Tract 207.02; Alamance County; North Carolina,"Alamance County, North Carolina",NC,2022,97,Second Harvest Food Bank of Northwest North Carolina,,," 5,473 ",13.9%, 760 ,6.8%,13.8%,40.4%,7.2%," $52,129.00 ",39.6%,10.0%
