,GEOID_OLD,County_x,GEOID_x,Urban
0,37199960400,Yancey,37199960400,0.0
1,37199960300,Yancey,37199960300,0.0
2,37199960200,Yancey,37199960200,0.0
3,37199960102,Yancey,37199960102,0.0
4,37199960101,Yancey,37199960101,0.0
5,37197050502,Yadkin,37197050502,0.0
6,37197050501,Yadkin,37197050503,1.0
7,37197050501,Yadkin,37197050504,1.0
8,37197050400,Yadkin,37197050402,0.0
9,37197050400,Yadkin,37197050401,0.0
10,37197050300,Yadkin,37197050300,0.0
11,37197050200,Yadkin,37197050200,0.0
12,37197050102,Yadkin,37197050102,0.0
13,37197050101,Yadkin,37197050101,0.0
14,37195001700,Wilson,37195001700,0.0
15,37195001600,Wilson,37195001600,0.0
16,37195001500,Wilson,37195001501,0.0
17,37195001500,Wilson,37195001502,0.0
18,37195001400,Wilson,37195001401,1.0
19,37195001400,Wilson,37195001402,1.0
20,37195001300,Wilson,37195001302,0.0
21,37195001300,Wilson,37195001301,0.0
22,37195001200,Wilson,37195001200,0.0
23,37195001100,Wilson,37195001100,0.0
24,37195001000,Wilson,37195001000,0.0
25,37195000900,Wilson,37195000900,0.0
26,37195000802,Wilson,37195000802,1.0
27,37195000801,Wilson,37195000801,1.0
28,37195000700,Wilson,37195000702,0.0
29,37195000700,Wilson,37195000701,0.0
30,37195000600,Wilson,37195000602,1.0
31,37195000600,Wilson,37195000601,1.0
32,37195000502,Wilson,37195000502,1.0
33,37195000501,Wilson,37195000501,1.0
34,37195000400,Wilson,37195000401,1.0
35,37195000400,Wilson,37195000402,1.0
36,37195000300,Wilson,37195000300,1.0
37,37195000200,Wilson,37195000200,1.0
38,37195000100,Wilson,37195000100,1.0
39,37193961200,Wilkes,37193961201,0.0
40,37193961200,Wilkes,37193961202,0.0
41,37193961100,Wilkes,37193961100,0.0
42,37193961002,Wilkes,37193961002,0.0
43,37193961001,Wilkes,37193961001,0.0
44,37193960900,Wilkes,37193960901,0.0
45,37193960900,Wilkes,37193960902,0.0
46,37193960802,Wilkes,37193960802,0.0
47,37193960801,Wilkes,37193960801,0.0
48,37193960700,Wilkes,37193960700,0.0
49,37193960600,Wilkes,37193960600,1.0
50,37193960500,Wilkes,37193960500,1.0
