,Name,Address,City,State,ZIP,County,Phone Number,Program Type,Hours of Operation,Full address,Latitude,Longitude,Latitude2,Longitude2
0,Alamance County Community Services,236 N. Mebane St,Burlington,NC,27217,Alamance,336.229.7031,PANTRY,M - F: 8:30a-4:30p,"236 N. Mebane St, Burlington, NC, 27217",36.0913242,-79.4308592,36.0927311,-79.4305204
1,Piedmont Rescue Mission,1519 N Mebane St,Burlington,NC,27217,Alamance,336.229.6995,PANTRY,Tu & Th: 1p - 3p (Appt. Only),"1519 N Mebane St, Burlington, NC, 27217",36.093336,-79.410761,36.0928924,-79.4110706
2,Melfield United Church of Christ,2144 Melfield Dr,Haw River,NC,27258,Alamance,336.578.3163,PANTRY,M - F: 11a - 11:30a (Produce); Sa: 9a - 1p (2nd Saturday of each month),"2144 Melfield Dr, Haw River, NC, 27258",36.035722,-79.335908,36.035398,-79.335167
3,Harvest Baptist Church,3741 S Church St,Burlington,NC,27215,Alamance,336.584.3333,PANTRY,W: 10a - 12p,"3741 S Church St, Burlington, NC, 27215",36.0805056,-79.5231614,36.0817513,-79.5191107
4,Burnett's Chapel Christian Church,1957 Burnett's Church Rd,Graham,NC,27253,Alamance,336.525.2114,PANTRY,Sa: 9a - 11a (3rd Saturday of each month),"1957 Burnett's Church Rd, Graham, NC, 27253",35.947265,-79.321595,35.8775497,-79.3653436
5,Breakthrough Community Church,703 S Third Street,Mebane,NC,27302,Alamance,919.810.2137,PANTRY,Tu: 6p - 7p; Sa: 11a - 1p,"703 S Third Street, Mebane, NC, 27302",36.08891,-79.273153,36.0867938,-79.2731718
6,Trinity Worship Center,3157 S Church Street,Burlington,NC,27215,Alamance,336.585.0605,PANTRY,F: 10a - 12p (3rd Friday of each month),"3157 S Church Street, Burlington, NC, 27215",36.0807079,-79.4996258,36.0813055,-79.5001792
7,DreamAlign Ministries,124 East Pine Street,Graham,NC,27253,Alamance,336.270.5238,PANTRY,M: 10a - 12p & 7p - 9p; F: 10a - 2p,"124 East Pine Street, Graham, NC, 27253",36.0680126,-79.3999186,36.0680299,-79.3990929
8,Fresh Manna Food Ministries,802 Chapel Hill Rd,Burlington,NC,27253,Alamance,336.226.2217,PANTRY,Tu: 5:30p - 8p; Th: 5:30p - 8p,"802 Chapel Hill Rd, Burlington, NC, 27253",36.0736287,-79.4407261,36.0739418,-79.4402656
9,Blessed Sacrament - Little Portion Food Pantry,328 W David St.,Burlington,NC,27215,Alamance,336.226.8796,PANTRY,Screening on 3rd Thursday of each month; Pantry on 1st Saturday after 3rd Thursday,"328 W David St., Burlington, NC, 27215",35.911001,-79.977732,36.0955555,-79.4379412
10,S.A.F.E - Southern Alamance Family Empowerment,5950 US 89 S,Graham,NC,27340,Alamance,336.525.2120,PANTRY,Tu & Sa: 9a - 12p,"5950 US 89 S, Graham, NC, 27340",35.352534,-79.108993,36.0679348,-79.400415
11,S.A.F.E. @ The Bridge,615 W. Harden St.,Graham,NC,27340,Alamance,336.525.2120,PANTRY,Th (4p-6p),"615 W. Harden St., Graham, NC, 27340",36.0688566,-79.4125591,36.0697973,-79.4124423
12,Elon First Baptist Church,113 Lynn St,Elon,NC,27244,Alamance,336.584.5657,PANTRY,1st Friday of month 12p - 3p,"113 Lynn St, Elon, NC, 27244",36.0969265,-79.5131633,36.09746,-79.5134007
13,Amos of Alamance,617 Rauhut St,Burlington,NC,27217,Alamance,336.904.2090,PANTRY,Tu: 10a - 1p,"617 Rauhut St, Burlington, NC, 27217",36.1038118,-79.4341685,36.1040134,-79.4339287
14,We Care / Bridging the Gap CDC,2414 Swann Rd,Green Level,NC,27217,Alamance,336.578.3443,PANTRY,2nd Sa of month 9a-12p,"2414 Swann Rd, Green Level, NC, 27217",36.1172138,-79.3457212,36.1174259,-79.3456357
15,Allied Churches of Alamance County,206 N Fisher Street,Burlington,NC,27217,Alamance,336.229.0881,SHELTER,Please call for availability,"206 N Fisher Street, Burlington, NC, 27217",36.0991334,-79.436838,36.0995233,-79.437028
16,The Salvation Army - Alamance,812 N. Anthony Street,Burlington,NC,27217,Alamance,336.227.5529,SOUP KITCHEN,M - F: 1p - 3:30p,"812 N. Anthony Street, Burlington, NC, 27217",36.0844015,-79.4241418,36.0850546,-79.4243185
17,Burlington Assembly of God,903 Tucker St,Burlington,NC,27215,Alamance,336.227.3434,SOUP KITCHEN,Sa: 11:30a - 12:30p; Su: 12:30p - 1:30p,"903 Tucker St, Burlington, NC, 27215",36.0813115,-79.4397966,36.0813476,-79.4400536
