,Input,Model_Output,Name,Hours of Operation
0,M - F: 8:30a-4:30p,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:30 am"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""08:30 am"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""08:30 am"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:30 am"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""08:30 am"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Alamance County Community Services,M - F: 8:30a-4:30p
1,Tu & Th: 1p - 3p (Appt. Only),"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""2""
        ]
    }
]",Piedmont Rescue Mission,Tu & Th: 1p - 3p (Appt. Only)
2,M - F: 11a - 11:30a (Produce); Sa: 9a - 1p (2nd Saturday of each month),"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""11:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""11:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""11:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""11:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""11:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""2""
        ]
    }
]",Melfield United Church of Christ,M - F: 11a - 11:30a (Produce); Sa: 9a - 1p (2nd Saturday of each month)
3,W: 10a - 12p,[],Harvest Baptist Church,W: 10a - 12p
4,Sa: 9a - 11a (3rd Saturday of each month),"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""3""
        ]
    }
]",Burnett's Chapel Christian Church,Sa: 9a - 11a (3rd Saturday of each month)
5,Tu: 6p - 7p; Sa: 11a - 1p,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""07:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Breakthrough Community Church,Tu: 6p - 7p; Sa: 11a - 1p
6,F: 10a - 12p (3rd Friday of each month),"[
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""3""
        ]
    }
]",Trinity Worship Center,F: 10a - 12p (3rd Friday of each month)
7,M: 10a - 12p & 7p - 9p; F: 10a - 2p,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""07:00 pm"",
        ""Closing_Hour"": ""09:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",DreamAlign Ministries,M: 10a - 12p & 7p - 9p; F: 10a - 2p
8,Tu: 5:30p - 8p; Th: 5:30p - 8p,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""17:30 pm"",
        ""Closing_Hour"": ""20:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""17:30 pm"",
        ""Closing_Hour"": ""20:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Fresh Manna Food Ministries,Tu: 5:30p - 8p; Th: 5:30p - 8p
9,Screening on 3rd Thursday of each month; Pantry on 1st Saturday after 3rd Thursday,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""08:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Blessed Sacrament - Little Portion Food Pantry,Screening on 3rd Thursday of each month; Pantry on 1st Saturday after 3rd Thursday
